CPE,PC1,PC2,cluster
PT0002000108315818YN,3.9047327249868005,0.2112854335247343,4
PT0002000109837807PE,-0.680968560628886,1.3118919990225169,2
PT0002000109942242HZ,2.6369921258573865,0.29975396460009324,4
PT0002000110090564GD,0.0004319012628505552,0.8510533681227772,2
PT0002000110607652SB,-0.717405869053027,0.15678623906598252,1
PT0002000112026362NN,0.9861281670188637,2.5471524071329186,2
PT0002000112171317NK,-0.03927365770420221,-0.047929728115302946,9
PT0002000112989585PH,0.38095573759308066,-1.83069043189097,4
PT0002000115031201VQ,-1.2620382301480777,-0.009890673051628995,1
PT0002000115673389QK,-2.32132771068112,-0.7416729872370362,1
PT0002000115673471CB,-3.041499709429201,-1.7581423179428732,1
PT0002000115700602GW,-2.072433087208807,-0.20651452918887783,1
PT0002000117822355RM,1.6873830971636596,-0.13426043989901493,4
PT0002000119303492KB,-1.4816598770805525,0.17995474339952902,1
PT0002000120237616VJ,-1.0365014883572963,-0.24918861822903995,8
PT0002000120320157HF,-0.8369366322610937,1.5385332768561546,8
PT0002000123648159KR,-0.8743599965794561,-0.042458911597576955,1
PT0002000123801456QA,1.4709407463569188,-0.10577547116141081,4
PT0002000125379984SH,-0.14218546731700854,0.7900467887809521,2
PT0002000131605602FL,3.3978839176804745,-2.0365549726304595,6
PT0002000133505542CK,-1.6972142011454352,-0.8701079045634613,1
PT0002000133685986TF,0.48893545357630086,-1.7861109005644753,9
PT0002000201936109ME,4.793016480599643,-0.6593314753400109,0
