CPE,mean,std,min,max,missing_pct,hora_pico,mean_noite,mean_dia,ratio_noite_dia,std_diario,mean_diario,diff_utilizacao_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,std_mensal,amplitude_horaria,cv
PT0002000077647404EM,3.4402058715270285,6.608230785155504,0.0,35.0,0.03656284774447583,21,1.2532748726928535,3.180920480250566,0.39399754897177786,271.4333482882142,317.753223915592,3.098014509530953,21,11,5592.768544695929,9.977161997563947,1.920882363421542
PT0002000078207354XC,3.635144053813936,2.9600767171574804,0.0,20.0,0.036526162612959635,19,1.3538906359158762,4.529471898381764,0.29890695124956584,162.63374749414848,335.77139507620166,1.2997597123930615,19,10,4431.209075293731,4.478075517661389,0.8142941994421967
PT0002000078233981HJ,2.6158333741010713,3.8281285224592367,0.0,16.0,0.00015896890323685144,19,0.5676946028181444,3.070212944332663,0.18490398324522006,112.72964158739114,250.73974208675264,1.8509034324415587,20,11,2807.7831909046035,6.720363849765258,1.463445095685718
PT0002000078294957RQ,5.48199598923694,7.567065291498691,0.0,48.0,0.03655061936730376,12,1.6096728134099247,8.041630415869152,0.2001674697998352,406.64083581937194,506.34876905041034,4.366036552558627,12,21,8238.681465149348,11.457064555420219,1.3803485639820725
PT0002000078441876HB,218.21248104485642,103.0808095800531,0.0,574.0,0.5000305709429301,12,117.38267863607894,279.32243460764585,0.4202407830254027,10937.20805263891,10459.361664712778,59.38729072974323,12,18,326068.54965774436,216.92605633802816,0.47238732214800994
PT0002000079901964CJ,0.6103887879155055,0.6199995165401565,0.0,1.916,0.3944752191936608,2,1.1971122699279526,0.1924125138427464,6.221592587820563,30.557569315983056,35.43403516998829,0.005916601794803337,2,0,927.9176763657035,1.222048449612403,1.0157452574734733
PT0002000081344542CP,3.115533019406755,4.613518942918415,0.0,25.0,0.03656284774447583,19,0.7474870659873506,3.547111536453802,0.21073119869657247,162.79954018346226,287.7649472450176,2.195023434695011,20,11,3977.675503146698,7.790803897685749,1.4808120838972523
PT0002000081997398TD,27.679439823874755,18.045468968950953,0.0,155.0,0.00020788241192511343,17,10.963717160784098,37.10718477531857,0.2954607639239852,704.4540505825086,2653.0726846424386,4.500440345096361,17,17,23663.966466426074,39.41901408450704,0.651944876188785
PT0002000082549706RH,9.122862908855522,5.64136366225133,0.0,37.0,0.03656284774447583,2,9.439387022327567,8.939229163041587,1.0559508935461501,525.9872864539368,842.6295427901524,0.8908671304550505,2,2,15536.152143514711,2.762484774665043,0.6183764590801079
PT0002000082592498EF,0.5386167059847462,0.6737033445028227,0.0,3.552,0.4660968242904484,18,0.3910891908998688,0.6446023547880689,0.6067138725058651,42.60333943020945,27.56921922626025,0.3508379292349722,18,1,990.5874646928006,0.7676703296703296,1.2508029123810767
