device,count,mean,std,min,25%,50%,75%,max
D09AE219774A,6255.0,16.032454036770584,221.02340474440302,0.0,0.0,0.0,0.0,4601.0
D09JE246112R,6153.0,7.723061921014139,16.182125917372247,0.0,0.0,2.0,6.0,298.0
D09OF265615K,5713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10JC069091G,6506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10JC116614G,4226.0,123.00307619498344,303.09255209995473,0.0,17.0,55.0,139.0,9726.0
D10JE044291W,5670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10JE067404J,4515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10JE102675,5659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10OF068767,6415.0,594.1543257989088,749.3049255203258,0.0,100.0,300.0,900.0,9200.0
D11JC109182T,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11JE109235D,5870.0,374.10425894378193,606.9390494481474,-8.0,71.0,104.0,455.75,7809.0
D11JE117987H,1319.0,287.4435178165277,1791.9986988071767,0.0,0.0,0.0,0.0,41254.0
D12JC097899,5719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D12JC113924X,6241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D12XF094973V,5766.0,1490.0676378772112,2244.1916809209656,0.0,150.0,730.0,1940.0,29840.0
D13XF126371P,6336.0,546.6493055555555,454.85894927364495,0.0,280.0,380.0,770.0,10810.0
D14XF111533Z,6271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D15XF072893,6008.0,21.31324900133156,128.46699451909436,0.0,0.0,0.0,0.0,4080.0
D16BA133407,6508.0,32.08850645359558,144.803695367709,0.0,0.0,0.0,0.0,1611.0
D16BX009413,6305.0,0.3043616177636796,6.719437885993861,0.0,0.0,0.0,0.0,280.0
D16BX009425,5213.0,6.644734318051026,50.6100126294135,-1.0,0.0,0.0,0.0,1041.0
D16BX009428,6306.0,62.23644148430066,252.8288260857147,-1.0,0.0,0.0,0.0,2183.0
D16XF077374,6087.0,619.2198127156234,4809.237595133904,0.0,80.0,350.0,770.0,370611.0
D17BA019937,6131.0,2.9261131952373187,6.965629078760801,0.0,0.0,0.0,1.0,91.0
D17BA019938,6015.0,27.525187032418952,37.78721939771707,0.0,3.0,13.0,38.0,490.0
D17BA053783,6393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D18BA316162,3348.0,8.40621266427718,32.64336607800236,0.0,0.0,1.0,8.0,813.0
D18BX003233,2648.0,13.379909365558913,121.47665284299751,-1.0,0.0,0.0,0.0,3894.0
D18BX003237,3967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D18BX003239,6254.0,67.31483850335785,168.18947885315356,0.0,0.0,0.0,9.0,2068.0
D18BX003260,5423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D18BX003284,6036.0,0.12143803843605036,1.4078714634635008,0.0,0.0,0.0,0.0,44.0
D19BA000196,6259.0,5.55072695318741,11.667141323899276,0.0,0.0,0.0,7.0,102.0
D19BA063983,6445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D19BA093038,6545.0,0.3225362872421696,1.8996897627312423,0.0,0.0,0.0,0.0,37.0
D19BA093039,6338.0,2.0145156200694228,5.432249659932093,0.0,0.0,0.0,0.0,180.0
D19BA310748,5073.0,14.820027597082595,43.595056148407856,0.0,0.0,0.0,4.0,587.0
D19BA310997,6480.0,2.2387345679012345,1.7712037645774004,0.0,2.0,2.0,3.0,60.0
