CPE,count,mean,std,min,25%,50%,75%,max
PT0002000073231742VK,81762.0,4.895305887820748,3.3665863897958612,0.0,3.0,3.0,5.0,22.0
PT0002000073481266XH,78787.0,4.324336502214832,3.6559351981899195,0.0,2.0,2.0,7.0,24.0
PT0002000073598156DE,46634.0,0.6331559806150018,0.6355183680688345,0.0,0.004,0.976,1.12,3.36
PT0002000073717386HC,78787.0,5.496204957670682,9.045480723268374,0.0,1.0,1.0,2.0,33.0
PT0002000075637532JB,69957.0,4.327908572408766,5.40751435452686,0.0,1.0,2.0,5.0,31.0
PT0002000077394934QY,78786.0,20.47566826593557,9.760734319474293,0.0,14.0,18.0,24.0,83.0
PT0002000077647404EM,78787.0,3.4402058715270285,6.608230785155504,0.0,0.0,1.0,1.0,35.0
PT0002000078207354XC,78790.0,3.635144053813936,2.9600767171574804,0.0,1.0,2.0,6.0,20.0
PT0002000078233981HJ,81764.0,2.6158333741010713,3.8281285224592367,0.0,0.0,1.0,2.0,16.0
PT0002000078294957RQ,78788.0,5.48199598923694,7.567065291498691,0.0,1.0,2.0,6.0,48.0
PT0002000078441876HB,40886.0,218.21248104485642,103.0808095800531,0.0,130.0,196.0,303.0,574.0
PT0002000079901964CJ,49518.0,0.6103887879155055,0.6199995165401565,0.0,0.0,0.032,1.264,1.916
PT0002000081344542CP,78787.0,3.115533019406755,4.613518942918415,0.0,0.0,1.0,4.0,25.0
PT0002000081997398TD,81760.0,27.679439823874755,18.045468968950953,0.0,12.0,24.0,39.0,155.0
PT0002000082549706RH,78787.0,9.122862908855522,5.64136366225133,0.0,5.0,7.0,10.0,37.0
PT0002000082592498EF,43661.0,0.5386167059847462,0.6737033445028227,0.0,0.104,0.188,1.128,3.552
PT0002000084414998AX,43661.0,1.000804699846545,0.8771641366744238,0.0,0.368,0.916,1.036,10.12
PT0002000085555547GN,46635.0,1.4428695186019085,1.3530566139214173,0.0,0.088,1.372,2.148,8.892
PT0002000085641795MX,32053.0,0.08575234767416468,0.0824754046921192,0.0,0.048,0.068,0.072,1.388
PT0002000089069203YG,52396.0,3.2306345140850445,2.446624322719657,0.0,0.696,3.056,4.864,152.8
PT0002000100113293JT,81764.0,42.29064747321559,14.713097819990908,0.0,41.0,46.0,51.0,74.0
PT0002000100742616GC,43661.0,3.3444501042119974,4.1875946226721945,0.0,0.336,1.072,5.66,22.176
PT0002000101964938LF,67176.0,5.218820709777302,4.482709111927792,0.0,2.0,3.0,9.0,29.0
PT0002000102936404ME,78790.0,5.105946186064221,2.6172376491455354,0.0,4.0,5.0,6.0,22.0
PT0002000103647515BL,78789.0,0.6170404498089835,1.165898018360838,0.0,0.0,0.0,0.0,5.0
PT0002000105483259QH,81763.0,0.2371182564240549,0.4272009717706372,0.0,0.0,0.0,0.0,3.0
PT0002000106237165CF,43662.0,0.08608387155879256,0.048517252089452984,0.0,0.06,0.08,0.084,0.98
PT0002000107046231FW,78788.0,3.117600395999391,4.028037129532916,0.0,1.0,1.0,4.0,27.0
PT0002000107172384HT,69959.0,5.5355279520862215,3.5018341819800853,0.0,3.0,5.0,7.0,34.0
PT0002000107332489XW,55468.0,0.11076361145164783,0.018233735664743556,0.0,0.112,0.112,0.112,0.368
PT0002000108315818YN,78689.0,0.03713766854325255,0.15151386192788346,0.0,0.0,0.0,0.02,1.196
PT0002000109837807PE,78787.0,3.495513219185906,3.0173906453659742,0.0,1.0,2.0,6.0,13.0
PT0002000109942242HZ,43662.0,0.06486468782923366,0.16338792346912018,0.0,0.0,0.0,0.0,0.496
PT0002000110090564GD,69955.0,3.6860910585376314,4.0545462604822875,0.0,1.0,2.0,5.0,19.0
