CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal,cluster
PT0002000033074862LZ,6.626553250819431,6.229196130896825,35.0,3.0,2.0,20.0,6.0,0.0001589689032368,0.0009538134194211,12,3.034651654789505,9.10349597585513,0.3333501396428582,10.256455399061032,2.663234407820364,0,12.0,9.5,5.003998070332148,0.9400356256288336,0.4899617221421683,0.969441609934362,0.6819015203093446,0.0987433064166329,0.0001554557802147,0.3678420107240727,8
PT0002000033085062AW,2.6323282716731087,3.2561226262172887,19.504,1.218,0.0,9.996,3.456,0.8228352715311151,0.0262787825427687,11,1.0066977546515294,3.5661811731315045,0.2822901321548777,3.823258278145695,4.163934349110405,1,11.0,0.0,3.168437743954973,1.2369743778756348,3.031938387278021,0.966037127033608,0.5663021972711677,0.2596413532798659,0.0058073019768672,2.5900801504664805,0
PT0002000033094187PL,0.7496075381546008,0.6902602004312575,4.668,0.412,0.168,2.244,0.8719999999999999,0.0377123151986499,0.0005013634640546,9,0.476866337280997,0.9210307491289196,0.5177528955813921,0.6926329268292684,0.6553788363885219,1,9.0,8.0,0.4469600992193922,0.9208287874619754,0.7655005038336846,0.9524284062742974,0.5038557547756949,-0.0837770524130696,-0.0012114459991203,0.5514805286659281,1
PT0002000033171958DG,1.1117333944113603,1.1411550659543443,7.58,0.424,0.352,3.588,1.104,0.4661090526676205,0.0004157648238502,10,0.713477346112889,1.4039618524332809,0.5081885557476676,1.3137582417582416,2.663234407820364,0,10.0,9.5,0.889956508881168,1.0264646827115973,1.34962765864909,0.9744222507549498,0.5518494942799653,0.2147917753479537,0.0037746987402892,1.189010618274229,4
PT0002000033186037TF,7.345530692463113,5.3803351415611385,27.604,6.16,1.412,19.6,5.752000000000001,0.0013695782432713,1.2228377172065495e-05,11,4.2873426533982855,9.52016904482122,0.4503431223976546,9.436673325499411,5.959755411496377,1,11.0,13.0,2.382339145806545,0.7324637751608111,0.4561967450853602,0.976223082151401,0.6990706918448307,-0.837342136728661,-0.0011906738986895,0.4594538103004567,1
PT0002000033254603ZX,3.997360121997713,4.617515245956159,25.232,1.36,0.296,13.34,6.824,0.0377490003301661,0.0007826161390121,12,4.144582701336194,4.3403791811846695,0.9548895449740328,6.5694536585365855,4.647162377100185,1,12.0,22.0,3.400062384363688,1.155141169429718,0.8005179865500498,0.9692890260035786,0.7411428424230815,0.0025194470882335,6.832213863621647e-06,0.6816468084462247,1
PT0002000053093191SV,0.760175025713866,0.6132019730318499,3.552,0.584,0.164,1.956,1.016,0.0013328931117551,0.0004646783325384,15,0.6573783545562671,0.8325185496055061,0.7896260748397376,0.3060802628151121,0.6578228779857384,1,15.0,16.0,0.1641290897891684,0.8066589302325521,0.7589543891602782,0.9883667205280198,0.8821007794920497,-0.0018706213410998,-2.570214671263788e-05,0.7241695274310929,1
PT0002000065256275YB,0.0019012306373599,0.0217292060812863,0.612,0.0,0.0,0.0,0.0,0.0013695782432713,0.9827579881873876,20,0.0001223027503968,0.0029215208997817,0.0418626991188068,0.0103819036427732,0.0032245549037462,1,20.0,16.0,0.0017030237925803,11.429021631725655,2.3027246172326343,0.6074739702693378,0.003320214306082,-6.55545132498138e-05,-0.0003601478758893,0.877509496101453,5
PT0002000065523872AA,0.0442423500312243,0.0780591324961045,2.244,0.008,0.004,0.204,0.072,0.0013451214889272,0.6660919329395796,16,0.0216719113776757,0.0572208326338761,0.3787416292304251,0.0568636897767332,0.0541774282267929,1,16.0,9.0,0.039306713377637,1.7643532145334435,1.215724134800696,0.9517995669169086,0.3998164401900009,0.0077132350731916,0.0018209616891215,0.8822657244005704,2
PT0002000066469574LZ,0.728156428931336,0.2096351963400837,5.844,0.708,0.464,1.008,0.2039999999999999,0.4660845959132763,0.0004646783325384,14,0.6985988825270358,0.7429026687598116,0.940363942551538,0.1035736263736263,2.663234407820364,0,14.0,9.5,0.0131808667082109,0.2878985723545015,0.975378094472121,0.852432203551539,0.5514411361928744,0.1165061896758677,0.0031258613922901,1.0476962227092628,4
PT0002000068856655YV,1.7625556867075354,1.9650716842416496,15.0,1.0,0.0,6.0,3.0,0.0365383909901317,0.2474656688310894,11,0.6777979074840959,2.4298112058465287,0.2789508525819626,2.7104141291108403,1.5122031789702366,1,11.0,11.0,1.315285814812299,1.114899063366568,0.6255566788135947,0.8914799859318043,0.5468860186290916,-0.0705061959402717,-0.000433079751833,0.4817166071018006,1
PT0002000068856781NM,31.704263594334776,2.811839588193155,44.0,31.0,29.0,37.0,3.0,0.0001834256575809,0.0011005539454858,15,30.555367821315457,32.49595489604293,0.9402821957091102,3.73474178403756,23.853519706221785,1,15.0,15.0,1.7468278865708715,0.0886896356960519,0.0705453457972841,0.8626651706384657,0.6470175828689655,-0.3252567603263383,-0.0001070301629649,0.272203434878484,3
PT0002000068856872QG,0.145734702425527,0.5018961602024873,9.0,0.0,0.0,1.0,0.0,0.0365628477444758,0.8597160570820647,21,0.0907194551276102,0.1432269009918218,0.6333967606601381,0.2302070645554202,0.1602242078384349,1,21.0,10.0,0.1145131892727959,3.443902871788309,1.4026191377417132,0.6330649051328426,0.0880385792890631,0.0088155052197373,0.0006549055872179,0.6005244237735335,2
PT0002000068856906VS,5.830807710183215,2.7890089307235324,26.0,5.0,3.0,11.0,3.0,0.0001834256575809,0.0004891350868826,13,5.6680387756141695,5.932700368879947,0.9553893544575311,2.095070422535211,2.663234407820364,0,13.0,9.5,0.8080133155274783,0.4783229132822658,0.3633114484710628,0.8835997555454124,0.5225237498431144,-0.1231147769131654,-0.0002202819883582,0.3641899259101397,8
PT0002000068856952LS,0.8557403161937654,1.2215457264349463,8.0,1.0,0.0,3.0,1.0,0.1785709918436724,0.3618132237670738,22,1.068308034357217,0.6150255102040816,1.7370141833673285,1.1667857142857143,0.9279023137003688,1,22.0,23.0,0.0337881760325685,1.4274724508344323,0.9687172659816042,0.8041072626571804,0.8347085678577345,0.0588918168747654,0.0008738980715192,0.9547774305383958,2
PT0002000068857099AR,3.037575519114586,3.37871512384502,24.0,2.0,1.0,12.0,2.0,0.0365506193673037,0.0104919476136321,21,1.6504046908079688,3.0098964677222897,0.5483260665297557,6.841961023142509,2.8844852964898693,1,21.0,1.0,1.7269445435026691,1.1123065426962198,0.3714717412385468,0.89924561102767,0.5747270084298061,0.1079986153346965,0.0003849284919868,0.3913958570782989,2
PT0002000068857897ZV,11.821045083007563,10.001592823218605,65.0,7.0,5.0,35.0,6.0,0.0365506193673037,0.0006970174988077,9,6.618225464470721,15.504698103358274,0.4268529074446946,15.300852618757611,2.663234407820364,0,9.0,9.5,7.225435044585212,0.8460836375284302,0.4929495572706036,0.9804225527413394,0.6925441862838284,0.0513694857245254,4.70476893896378e-05,0.4069328029038302,8
PT0002000068857909SY,4.524400304607184,4.976053969241479,24.0,1.0,0.0,14.0,7.0,0.0365261626129596,0.2326326473213739,21,0.9163571296113434,5.597507395162694,0.1637080694887959,7.937576126674786,4.627554042941916,1,21.0,0.0,1.800355297589797,1.099826194462585,0.6166626506060978,0.9581202278390228,0.6355828886179489,-0.0019817364781002,-4.742013775959233e-06,0.5365157283554102,2
PT0002000068859187RL,11.734562087986008,11.20055195921767,58.0,7.0,2.0,35.0,15.0,0.0001711972804089,0.0011005539454858,0,15.164043423112718,10.992873910127432,1.3794430416546943,14.55551563583803,10.82668392911742,1,0.0,1.0,6.3366881496188965,0.9544925388127552,0.6058810389764445,0.9754831409223164,0.8010320438485822,-0.0235282894491851,-2.091778430017413e-05,0.5862963094865926,1
PT0002000068859325FL,31.50468339489015,27.806965356384325,500.0,25.0,7.0,70.0,33.0,0.0365383909901317,0.0093302517822859,19,11.141991980862286,40.069775535061765,0.2780647466096446,51.92813641900122,28.587788930874684,1,19.0,10.0,8.337023381407308,0.8826295763027546,0.401767439814792,0.9400466667141486,0.5812442810496,-0.0513350605042821,-1.7640967564411594e-05,0.3891052099663353,3
PT0002000068859382XF,20.488029278706858,17.667314679958235,92.0,12.0,7.0,61.0,13.0,0.037724543575822,0.0005013634640546,11,10.183396784393668,27.182905052264807,0.3746250360222339,25.453658536585365,2.663234407820364,0,11.0,9.5,14.5257331453552,0.8623237715849917,0.5573098065720024,0.9879585529052136,0.6939243753899392,0.5095944374567127,0.0002696143109545,0.442971597024602,8
PT0002000068859393XH,24.428556577466857,18.18896093464227,110.0,25.0,5.0,56.0,30.0,0.0001589689032368,0.0018097998214656,19,7.099671874363501,32.22300469483568,0.2203292939811212,34.28579812206573,19.02301661901208,1,19.0,20.0,6.7011218238314605,0.7445778008603238,0.3787539595634872,0.9862317964246596,0.7752532004597967,-0.0484396781008926,-2.068665843423181e-05,0.334543780506858,3
