CPE,f01_pct_hora_00,f02_pct_hora_01,f03_pct_hora_02,f04_pct_hora_03,f05_pct_hora_04,f06_pct_hora_05,f07_pct_hora_06,f08_pct_hora_07,f09_pct_hora_08,f10_pct_hora_09,f11_pct_hora_10,f12_pct_hora_11,f13_pct_hora_12,f14_pct_hora_13,f15_pct_hora_14,f16_pct_hora_15,f17_pct_hora_16,f18_pct_hora_17,f19_pct_hora_18,f20_pct_hora_19,f21_pct_hora_20,f22_pct_hora_21,f23_pct_hora_22,f24_pct_hora_23
PT0002000068856655YV,2.010736259232399,1.8643680217906502,1.6861995788618382,1.5508428235988045,1.4478852916700071,1.3686871901863171,1.2894890887026271,1.3312480876667545,2.352903596806357,6.346647859806621,7.533899399321211,7.698055464214678,7.385582954724483,7.217106993386451,7.007592015825052,7.39206279939133,7.503660124209256,6.8686353468582135,4.668368091093152,3.895106627516031,3.230562557793795,3.0152877183063103,3.0102478391209844,2.324824269916685
PT0002000068856781NM,4.036087412034305,4.031104353240283,4.014133751003823,4.011916349096052,4.008329942532179,4.003625194136561,4.004859226502624,3.99992309703837,4.033511915502168,4.290152084131983,4.385751028990482,4.417527362416624,4.440009889585847,4.296900698633894,4.472133294614943,4.490759470640217,4.416486147607756,4.327018801068137,4.116809100211468,4.063861399005047,4.039836331378243,4.038987934126575,4.037368266646116,4.022906949856306
PT0002000068856872QG,4.1396803237341,2.3768972484827957,2.298558584421601,2.350798552249365,2.350798552249365,2.281145261812346,2.359505213553993,2.3769185361632457,2.4813984718187743,2.533638439646538,4.222730732744232,6.181729526285369,4.588410507538578,3.430424554023149,3.5261978283740496,5.389423347564286,5.18917013755786,4.536170539710813,3.9963575388239225,3.639384425334203,5.241410105385624,8.863381208110575,8.158141642435764,7.487728721979464
PT0002000068856906VS,4.005583115551744,4.009974305517977,4.069978185595506,4.140012843709308,4.19159525657157,4.163078150273734,3.772645415519544,3.46944147649991,3.3775996194524684,3.927602338711459,4.209628132612848,4.440071513651975,4.779131520149035,4.874747700088836,4.752291890692248,4.866150631278461,4.387021308553796,4.0848657925598175,4.018815141943507,4.042090133113064,4.12407681371934,4.129109244242488,4.088849800057309,4.075639669934047
PT0002000068856952LS,6.388999317588917,4.694814448466832,4.171097590442555,5.452506062370927,6.001929504880241,5.2334321580792365,4.463196129498141,3.247857565213294,1.7769327792548109,1.7821488245950887,1.8638668682594488,1.8742989589400059,2.1229304534932716,2.1159757263729007,2.1663974979955913,2.029041637368262,1.896901822081212,3.8929085056277115,5.242125566979701,5.725479101845492,6.1810137282297966,6.848667531785421,7.45720615481789,7.370272065813252
PT0002000068857099AR,2.742115593221421,2.289081236765203,2.1936154691388414,2.1806651588087513,2.1794119029703554,2.161448569286682,2.1029632968282095,2.1422319797646123,2.458887954932626,2.6372680359309664,2.9263523826542728,3.0266128497259386,2.8365357142359042,2.654395865722376,2.876222149118439,3.094288664999314,3.2346533188996474,3.797782942285509,6.721628813262989,9.134981806067234,10.267925083977067,11.489431774466874,9.643385924509811,5.208113512426954
PT0002000068857897ZV,2.3771121267347866,2.3907445424413485,2.339981649074712,2.345885814167799,2.3038052193225247,2.2945732520860616,2.2798665135814633,2.4461492722940394,4.96636897939226,7.673911742625691,7.626678421880998,7.610039411164117,7.0648166019315966,6.4347885122711,6.316061119671934,6.225244325694634,5.846841017455879,5.0483831999580495,3.853594882029728,2.8519264368734687,2.557899015237739,2.401384966042816,2.374655200439568,2.369287777627671
PT0002000068857909SY,2.7731823424317037,0.5809003480288473,0.5315162225898943,0.5200163993043082,0.5043093235971661,0.49841917020698784,0.5001020711756102,0.6768066728809575,3.9511709908305224,5.37799052872751,5.530854033377374,5.3213328627838905,4.982228317606487,4.348335619425399,4.520832968709191,5.063849014584671,5.249248604627899,5.498598431478778,6.272171910055521,7.587639500528665,7.801648407038473,7.809782428386815,7.69254032757279,6.40652350405054
PT0002000068859187RL,6.644746673992405,6.603707407104236,6.242432118108718,5.609199270711336,4.842215645873876,4.113773911731765,3.626791914432413,2.9481421363778084,4.511901225887514,4.960028830675066,5.350760268508194,5.165238356809767,5.385239635589709,4.631068585226648,4.4233590445603586,4.241691321931467,3.938877061792597,3.4648118062397946,2.601681789208259,1.5345922533078185,1.4775085881698407,1.6437595545205927,1.7461559830436437,4.292316616196169
PT0002000068859325FL,2.196848330228739,1.4936515167222861,1.3791751356564832,1.3583703938358793,1.319177724346145,1.2921899663213534,1.2776488011766522,1.4251147446524155,3.845594397589337,5.382164554860555,5.789035217261178,5.506549923189743,5.337534053530005,4.792582742608509,4.409437139128189,4.318846888683776,4.441741888286222,5.582719849197027,7.194976569645234,8.146717982495638,8.033167997612225,6.3099392273755095,5.449150587092238,3.7176643685046558
PT0002000068859382XF,2.1811314340577446,2.07171712476347,2.0619051660489394,2.05371931137907,2.0418126136774433,2.0436110211427936,2.04565748481026,2.2855278322576207,5.179537528308805,6.7975461206689625,7.000828178304032,7.219241664268251,7.144514733380437,6.64728607623645,6.601581720996351,6.513335727093149,6.0599510036733815,5.439004315723428,4.3660372134653525,3.1988707684532587,2.955093535822552,2.8349103058967544,2.7247733521567046,2.5324057674147933
PT0002000068859393XH,1.5847729749481836,1.2460445398773805,1.1692956875655336,1.1484708307273084,1.1307496785140112,1.1169331869578811,1.0823418983155408,1.8442513239832956,3.7870702996840553,5.030704718991811,5.6481917600963945,5.909854083878612,5.964869751343057,5.788759543754414,5.64744086381617,5.551626498459529,5.593776809656129,5.983992576612774,6.550168371902018,6.931623682256046,6.730733897419995,5.9913513601589745,5.068900309779228,3.4980753513016674
PT0002000068859597LS,2.7459567924075707,3.0121156261674074,3.078207725733883,2.849258746528399,2.7496042269159875,2.637041991505546,2.7396518130515126,2.672071011482695,4.767901606244523,6.022688038974358,6.3516392203726735,6.319782803941841,6.1153019863332965,5.930639075808599,5.574351351524893,5.543103379609793,5.07794754733259,4.573720885080874,4.217998144990347,3.3719995061873913,3.523589111249793,3.643887284074543,3.410027288420648,3.07151483606083
