CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal
PT0002000068859382XF,20.488029278706858,17.667314679958235,92.0,12.0,7.0,61.0,13.0,0.037724543575822056,0.0005013634640546853,11,10.183396784393668,27.182905052264807,0.37462503602223396,25.453658536585365,2.6632344078203642,0,11.0,9.5,14.525733145355199,0.8623237715849917,0.5573098065720024,0.9879585529052135,0.6939243753899392,0.5095944374567127,0.0002696143109545304,0.442971597024602
PT0002000068859393XH,24.428556577466857,18.18896093464227,110.0,25.0,5.0,56.0,30.0,0.00015896890323685144,0.0018097998214656934,19,7.099671874363501,32.22300469483568,0.22032929398112125,34.28579812206573,19.02301661901208,1,19.0,20.0,6.701121823831461,0.7445778008603238,0.37875395956348723,0.9862317964246595,0.7752532004597967,-0.048439678100892634,-2.068665843423181e-05,0.33454378050685807
PT0002000068859597LS,29.197316816226028,23.99151058316524,142.0,19.0,7.0,80.0,31.0,0.03656284774447583,0.0006481039901194712,10,19.830360564594304,35.06412041064903,0.5655456441614258,26.026492082825833,22.607019216324844,1,10.0,22.0,15.694425121565148,0.821702580897169,0.6699455786437063,0.9864218680956629,0.7836262929177642,-0.2938438000246012,-0.00010896024134431686,0.6018871932775386
PT0002000069698702RB,2.170356412290671,1.1069549545749329,7.344,1.756,1.26,4.576,1.216,0.4297051738263815,0.00040353644667816133,17,1.579649963996159,2.5873386243386243,0.6105308169316064,2.5877921810699585,2.6632344078203642,0,17.0,9.5,0.24834780646124158,0.5100337199486114,0.8902164733212614,0.7758630657700556,0.52796910638385,0.3543702194718481,0.0029863766685171095,0.9528119674342552
PT0002000069803182JW,0.47300196561729746,0.7091207330247061,4.684,0.044,0.0,1.844,1.324,0.6080682832581288,0.10005258202183988,23,0.8170890429505083,0.19248502994011973,4.2449485199170915,0.9511497005988024,0.6639855070236736,1,23.0,0.0,0.02085301520119995,1.4991919369706186,1.9241879561208295,0.9800023339701103,0.9476535007585741,0.06349490110381507,0.0035725914340070937,1.8983095418523477
PT0002000071896778MT,9.932266502758798,13.190327429350937,68.0,2.0,0.0,40.0,14.0,0.14452718979664209,0.04311725790870294,7,11.560849451180658,10.10856359004507,1.1436688653337257,9.57681755829904,12.588646567137987,1,7.0,23.0,8.112520602059455,1.3280279406203181,1.1710562685507215,0.9787723953099123,0.7469064615360022,0.9385152418943542,0.0011521382953319343,1.0385471006061544
PT0002000073231742VK,4.895305887820748,3.3665863897958612,22.0,3.0,2.0,13.0,2.0,0.00018342565758098242,0.0005747337270870783,12,3.168021463836229,6.111334674714956,0.5183845481321134,6.058392018779343,2.6632344078203642,0,12.0,9.5,2.390477931037901,0.6877172677139018,0.3308142396474143,0.9314506179443113,0.6692034156772951,-0.011972784180724817,-2.5516014756173067e-05,0.31400317115562676
PT0002000073481266XH,4.324336502214832,3.6559351981899195,24.0,2.0,1.0,12.0,5.0,0.03656284774447583,0.0008070728933563227,11,1.9471523181399402,5.929310944840786,0.328394367617741,6.200974421437272,3.098704977311185,1,11.0,21.0,3.3635345893283883,0.8454326337271459,0.4661494251253294,0.9288708075817065,0.5742996020848992,0.048708970135459245,0.00012195059759216421,0.3541379909317083
PT0002000073598156DE,0.6331559806150018,0.6355183680688345,3.36,0.976,0.004,1.756,1.116,0.4297418589578977,0.26212749306039596,20,0.005408752222521999,0.978042328042328,0.005530182147993821,1.5345576131687246,0.6282293569917846,1,20.0,9.0,0.006907603313197094,1.0037311302841017,0.8897713342262265,0.9632564674358984,0.9773107265456991,0.10188642596841405,0.002943418244048761,0.9601000007573919
PT0002000073717386HC,5.496204957670682,9.045480723268374,33.0,1.0,0.0,27.0,1.0,0.03656284774447583,0.19932254790466758,18,0.9029757915360014,8.562945884809468,0.1054515354508857,14.850487210718637,6.334657876328521,1,18.0,18.0,0.15122559764393634,1.6457684516739515,0.7059514995145012,0.9323781340999476,0.9430554796172487,-0.6356014742385474,-0.0012520349249311674,0.7000424120393063
PT0002000075637532JB,4.327908572408766,5.40751435452686,31.0,2.0,1.0,17.0,4.0,0.14453941817381416,0.014209374273940105,10,1.2640562675275102,6.465755437977661,0.19550016694149475,9.337448559670781,4.141450782415485,1,10.0,21.0,4.290696126829446,1.2494520769225084,0.7730873210661483,0.9652883755147874,0.6694839247069093,0.08593289021310999,0.00024210245601586304,0.5814223730163898
PT0002000077394934QY,20.47566826593557,9.760734319474293,83.0,18.0,11.0,41.0,10.0,0.0365750761216479,0.0007948445161842572,12,14.445486262543314,24.613755002610052,0.5868867330893441,17.026187576126677,2.6632344078203642,0,12.0,9.5,3.705030333152719,0.4766991823027715,0.33934807309614695,0.9779417307757312,0.7940906817791473,-0.0030639509418281534,-1.6201070132701884e-06,0.4019432057444355
PT0002000077647404EM,3.4402058715270285,6.608230785155504,35.0,1.0,0.0,20.0,1.0,0.03656284774447583,0.4506156987906135,21,1.2532748726928535,3.180920480250566,0.39399754897177786,9.977161997563947,4.432016441958093,1,21.0,0.0,3.4845950941255825,1.920882363421542,0.8542268901111693,0.9614072020438804,0.5250844907261379,0.20580852555225235,0.0006476992523195401,0.6190263051535192
PT0002000078207354XC,3.635144053813936,2.9600767171574804,20.0,2.0,0.0,9.0,5.0,0.036526162612959635,0.059943504897465055,19,1.3538906359158762,4.529471898381764,0.29890695124956584,4.478075517661389,3.1601943473849907,1,19.0,0.0,1.3014343580822862,0.8142941994421967,0.48435855429924146,0.9440302797256435,0.6319439341627016,-0.012775246601937825,-3.804745368210578e-05,0.4641418939042988
PT0002000078233981HJ,2.6158333741010713,3.8281285224592367,16.0,1.0,0.0,11.0,2.0,0.00015896890323685144,0.2960979248443939,19,0.5676946028181444,3.070212944332663,0.18490398324522006,6.720363849765258,2.3283006845025347,1,19.0,18.0,2.626005184073752,1.463445095685718,0.4495882489517285,0.9398217534669737,0.4958242339319219,-0.009096281995008507,-3.627778316794038e-05,0.39383346686773535
PT0002000078294957RQ,5.48199598923694,7.567065291498691,48.0,2.0,1.0,24.0,5.0,0.03655061936730376,0.004952492754686525,12,1.6096728134099252,8.04163041586915,0.2001674697998353,11.457064555420217,5.404921022530885,1,12.0,22.0,5.23794332381178,1.3803485639820725,0.8030844759077279,0.9738131924046945,0.6914099476291918,0.1394025173855581,0.00027530928463989147,0.5722425890121573
